,Buchungstag,Betrag,Kategorie
187,2019-03-18,25.23,Miete & laufende Verträge
188,2019-03-14,13.99,Unterhaltung
189,2019-03-13,29.99,Kleidung & Accessoires
190,2019-03-12,90.0,Kleidung & Accessoires
191,2019-03-12,53.14,Nahrung & Verbrauchsartikel
192,2019-03-12,118.74,Kleidung & Accessoires
193,2019-03-12,40.7,Nahrung & Verbrauchsartikel
194,2019-03-12,10.0,Miete & laufende Verträge
195,2019-03-12,10.1,Kleidung & Accessoires
196,2019-03-11,11.43,Technik
197,2019-03-08,33.0,Miete & laufende Verträge
198,2019-03-07,208.75,Unterhaltung
199,2019-03-07,90.0,Unterhaltung
200,2019-03-07,47.98,Technik
201,2019-03-07,10.1,Kleidung & Accessoires
202,2019-03-07,42.0,Kleidung & Accessoires
203,2019-03-05,44.89,Miete & laufende Verträge
204,2019-03-04,44.8,Transport
205,2019-03-04,84.0,Miete & laufende Verträge
206,2019-02-28,3.0,Dienstleistungen & Gebühren
207,2019-02-28,15.0,Dienstleistungen & Gebühren
208,2019-02-28,9.98,Dienstleistungen & Gebühren
209,2019-02-27,2.94,Nahrung & Verbrauchsartikel
210,2019-02-27,1.4,Nahrung & Verbrauchsartikel
211,2019-02-27,13.8,Kleidung & Accessoires
212,2019-02-27,25.98,Kleidung & Accessoires
213,2019-02-26,6.62,Nahrung & Verbrauchsartikel
214,2019-02-26,39.0,Unterhaltung
215,2019-02-25,3.5,Nahrung & Verbrauchsartikel
216,2019-02-25,1.57,Nahrung & Verbrauchsartikel
217,2019-02-25,25.74,Nahrung & Verbrauchsartikel
218,2019-02-25,260.0,Miete & laufende Verträge
219,2019-02-25,19.98,Kleidung & Accessoires
220,2019-02-25,4.8,Technik
221,2019-02-22,250.0,Unbekannt & Bargeld
222,2019-02-22,250.0,Unbekannt & Bargeld
223,2019-02-22,13.0,Nahrung & Verbrauchsartikel
224,2019-02-22,75.9,Unterhaltung
225,2019-02-22,70.0,Unterhaltung
226,2019-02-21,20.7,Nahrung & Verbrauchsartikel
227,2019-02-21,2.8,Transport
228,2019-02-21,0.89,Nahrung & Verbrauchsartikel
229,2019-02-20,22.0,Unterhaltung
230,2019-02-20,7.49,Nahrung & Verbrauchsartikel
231,2019-02-19,83.45,Transport
232,2019-02-19,382.25,Technik
233,2019-02-19,2.04,Nahrung & Verbrauchsartikel
234,2019-02-18,130.0,Unbekannt & Bargeld
235,2019-02-18,3.98,Nahrung & Verbrauchsartikel
236,2019-02-15,25.0,Miete & laufende Verträge
237,2019-02-15,6.9,Unterhaltung
238,2019-02-14,13.99,Unterhaltung
239,2019-02-13,4.8,Unterhaltung
240,2019-02-13,9.78,Nahrung & Verbrauchsartikel
241,2019-02-13,17.49,Kleidung & Accessoires
242,2019-02-13,251.0,Unterhaltung
243,2019-02-12,50.0,Unterhaltung
244,2019-02-12,1.85,Nahrung & Verbrauchsartikel
245,2019-02-12,10.0,Miete & laufende Verträge
246,2019-02-12,69.32,Kleidung & Accessoires
247,2019-02-11,5.6,Transport
248,2019-02-11,2.8,Transport
249,2019-02-11,6.9,Möbel & Einrichtung
250,2019-02-11,2.51,Kleidung & Accessoires
251,2019-02-08,150.0,Unbekannt & Bargeld
252,2019-02-08,230.0,Dienstleistungen & Gebühren
253,2019-02-08,89.99,Möbel & Einrichtung
254,2019-02-08,30.98,Nahrung & Verbrauchsartikel
255,2019-02-08,43.08,Möbel & Einrichtung
256,2019-02-08,33.0,Miete & laufende Verträge
257,2019-02-06,5.95,Kleidung & Accessoires
258,2019-02-05,24.41,Kleidung & Accessoires
259,2019-02-05,104.89,Technik
260,2019-02-05,59.0,Kleidung & Accessoires
261,2019-02-05,39.9,Kleidung & Accessoires
262,2019-02-04,19.63,Nahrung & Verbrauchsartikel
263,2019-02-04,44.89,Miete & laufende Verträge
264,2019-02-04,1.05,Nahrung & Verbrauchsartikel
265,2019-02-01,12.0,Dienstleistungen & Gebühren
266,2019-02-01,84.0,Miete & laufende Verträge
267,2019-02-01,15.67,Nahrung & Verbrauchsartikel
268,2019-01-31,3.0,Dienstleistungen & Gebühren
269,2019-01-30,2.84,Nahrung & Verbrauchsartikel
270,2019-01-30,4.95,Nahrung & Verbrauchsartikel
271,2019-01-29,2.48,Nahrung & Verbrauchsartikel
272,2019-01-29,58.66,Technik
273,2019-01-29,25.25,Nahrung & Verbrauchsartikel
274,2019-01-28,100.0,Unbekannt & Bargeld
275,2019-01-28,0.7,Nahrung & Verbrauchsartikel
276,2019-01-28,3.48,Nahrung & Verbrauchsartikel
277,2019-01-28,5.6,Transport
278,2019-01-28,27.52,Miete & laufende Verträge
279,2019-01-24,2.8,Transport
280,2019-01-24,260.0,Miete & laufende Verträge
281,2019-01-24,2.3,Nahrung & Verbrauchsartikel
282,2019-01-23,1.0,Nahrung & Verbrauchsartikel
283,2019-01-23,66.04,Nahrung & Verbrauchsartikel
284,2019-01-22,8.53,Kleidung & Accessoires
285,2019-01-22,1.99,Nahrung & Verbrauchsartikel
286,2019-01-22,34.86,Technik
287,2019-01-22,7.34,Nahrung & Verbrauchsartikel
288,2019-01-22,12.3,Nahrung & Verbrauchsartikel
289,2019-01-22,52.98,Möbel & Einrichtung
290,2019-01-22,4.95,Kleidung & Accessoires
291,2019-01-21,17.0,Nahrung & Verbrauchsartikel
292,2019-01-21,14.45,Nahrung & Verbrauchsartikel
293,2019-01-21,2.8,Transport
294,2019-01-21,9.49,Dienstleistungen & Gebühren
295,2019-01-21,99.9,Kleidung & Accessoires
296,2019-01-21,24.85,Kleidung & Accessoires
297,2019-01-18,0.63,Nahrung & Verbrauchsartikel
298,2019-01-17,71.21,Technik
299,2019-01-17,65.98,Technik
300,2019-01-17,0.05,Nahrung & Verbrauchsartikel
301,2019-01-16,1.37,Kleidung & Accessoires
302,2019-01-15,25.96,Miete & laufende Verträge
303,2019-01-15,40.94,Kleidung & Accessoires
304,2019-01-15,13.99,Unterhaltung
305,2019-01-15,89.6,Transport
306,2019-01-14,5.6,Transport
307,2019-01-14,18.3,Technik
308,2019-01-14,23.0,Möbel & Einrichtung
309,2019-01-14,8.95,Kleidung & Accessoires
310,2019-01-14,24.98,Kleidung & Accessoires
311,2019-01-14,0.35,Nahrung & Verbrauchsartikel
312,2019-01-11,70.0,Dienstleistungen & Gebühren
313,2019-01-10,33.0,Miete & laufende Verträge
314,2019-01-10,10.0,Miete & laufende Verträge
315,2019-01-10,34.49,Möbel & Einrichtung
316,2019-01-09,24.4,Technik
317,2019-01-09,50.0,Dienstleistungen & Gebühren
318,2019-01-09,28.07,Kleidung & Accessoires
319,2019-01-09,68.91,Kleidung & Accessoires
320,2019-01-09,11.99,Möbel & Einrichtung
321,2019-01-09,99.99,Möbel & Einrichtung
322,2019-01-08,39.9,Technik
323,2019-01-08,6.94,Kleidung & Accessoires
324,2019-01-08,11.98,Kleidung & Accessoires
325,2019-01-08,229.9,Technik
326,2019-01-08,138.47,Möbel & Einrichtung
327,2019-01-08,9.99,Kleidung & Accessoires
328,2019-01-07,47.98,Möbel & Einrichtung
329,2019-01-07,169.9,Kleidung & Accessoires
330,2019-01-04,44.89,Miete & laufende Verträge
331,2019-01-03,84.0,Miete & laufende Verträge
332,2019-01-02,59.29,Nahrung & Verbrauchsartikel
333,2019-01-02,32.57,Nahrung & Verbrauchsartikel
334,2019-01-02,41.78,Nahrung & Verbrauchsartikel
335,2019-01-02,3.38,Nahrung & Verbrauchsartikel
336,2018-12-28,3.0,Dienstleistungen & Gebühren
337,2018-12-28,12.1,Unterhaltung
338,2018-12-27,53.36,Transport
